short_name,value_eur,overall,player_positions,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,nationality
A. Cragno,18000000,81,GK,84.0,78.0,69.0,88.0,39.0,76.0,Italy
G. Rulli,16000000,81,GK,83.0,77.0,77.0,86.0,51.0,75.0,Argentina
T. Horn,15500000,81,GK,82.0,80.0,79.0,84.0,48.0,78.0,Germany
Jordi Masip,14000000,81,GK,82.0,82.0,72.0,84.0,65.0,77.0,Spain
T. Vaclík,14000000,81,GK,82.0,72.0,74.0,85.0,37.0,82.0,Czech Republic
A. Consigli,11000000,81,GK,81.0,82.0,72.0,83.0,40.0,80.0,Italy
Adán,11000000,81,GK,79.0,82.0,78.0,81.0,55.0,82.0,Spain
F. Muslera,9500000,81,GK,81.0,75.0,75.0,83.0,61.0,81.0,Uruguay
M. Maignan,16000000,80,GK,78.0,77.0,78.0,83.0,46.0,78.0,France
D. Livaković,15500000,80,GK,80.0,78.0,74.0,82.0,50.0,79.0,Croatia
O. Vlachodimos,14500000,80,GK,84.0,73.0,67.0,86.0,43.0,76.0,Greece
E. Andrada,13500000,80,GK,80.0,77.0,80.0,81.0,44.0,80.0,Argentina
W. Benítez,13500000,80,GK,79.0,79.0,74.0,82.0,48.0,79.0,Argentina
J. Zoet,13000000,80,GK,79.0,77.0,77.0,82.0,50.0,79.0,Netherlands
M. Ryan,12500000,80,GK,81.0,75.0,82.0,83.0,52.0,78.0,Australia
M. Dúbravka,11500000,80,GK,77.0,80.0,81.0,81.0,46.0,79.0,Slovakia
M. Dmitrović,12000000,80,GK,76.0,79.0,78.0,81.0,37.0,81.0,Serbia
Moyá,4000000,80,GK,84.0,74.0,81.0,79.0,39.0,80.0,Spain
Diego López,1500000,80,GK,75.0,82.0,74.0,76.0,44.0,82.0,Spain
I. Akinfeev,8000000,80,GK,77.0,72.0,78.0,84.0,50.0,82.0,Russia
B. Costil,9500000,80,GK,81.0,77.0,79.0,80.0,51.0,79.0,France
B. Foster,2500000,80,GK,79.0,79.0,73.0,81.0,49.0,78.0,England
T. Heaton,8000000,80,GK,79.0,78.0,74.0,82.0,55.0,81.0,England
S. Mandanda,6500000,80,GK,80.0,79.0,74.0,81.0,48.0,79.0,France
S. Romero,9000000,80,GK,79.0,76.0,81.0,83.0,45.0,79.0,Argentina
D. Ospina,10000000,80,GK,83.0,73.0,78.0,85.0,34.0,78.0,Colombia
R. Fährmann,10000000,80,GK,82.0,79.0,44.0,84.0,43.0,79.0,Germany
D. Subašić,6500000,80,GK,79.0,75.0,76.0,81.0,53.0,80.0,Croatia
F. Armani,9000000,80,GK,78.0,75.0,70.0,86.0,40.0,81.0,Argentina
J. Serendero,0,80,GK,78.0,81.0,77.0,77.0,42.0,80.0,Uruguay
A. Lafont,15500000,79,GK,80.0,77.0,71.0,83.0,46.0,76.0,France
L. Karius,11500000,79,GK,82.0,74.0,78.0,82.0,54.0,76.0,Germany
N. Pope,11000000,79,GK,78.0,80.0,75.0,79.0,48.0,80.0,England
A. Lunev,0,79,GK,80.0,73.0,65.0,85.0,56.0,77.0,Russia
A. Mirante,3400000,79,GK,80.0,78.0,65.0,78.0,43.0,79.0,Italy
N. Guzmán,7000000,79,GK,78.0,76.0,70.0,79.0,52.0,80.0,Argentina
S. Ulreich,8500000,79,GK,79.0,71.0,68.0,85.0,40.0,79.0,Germany
Guaita,7500000,79,GK,80.0,80.0,77.0,80.0,52.0,76.0,Spain
Herrerín,8000000,79,GK,81.0,78.0,84.0,75.0,43.0,78.0,Spain
C. Tătărușanu,7000000,79,GK,79.0,77.0,75.0,81.0,44.0,78.0,Romania
Gabri Prestão,9000000,79,GK,81.0,75.0,71.0,82.0,60.0,77.0,Brazil
L. Sáreda,0,79,GK,81.0,75.0,71.0,82.0,60.0,77.0,Uruguay
A. Meret,14000000,78,GK,79.0,74.0,70.0,82.0,45.0,77.0,Italy
J. Butland,10000000,78,GK,80.0,74.0,70.0,82.0,56.0,78.0,England
J. Musso,10000000,78,GK,80.0,77.0,74.0,81.0,44.0,79.0,Argentina
José Sá,9500000,78,GK,79.0,76.0,68.0,80.0,45.0,76.0,Portugal
A. Selikhov,10000000,78,GK,79.0,81.0,78.0,75.0,41.0,77.0,Russia
M. Sels,9000000,78,GK,80.0,74.0,73.0,80.0,36.0,77.0,Belgium
Joel Robles,8500000,78,GK,83.0,72.0,76.0,84.0,48.0,73.0,Spain
A. Schwolow,8500000,78,GK,78.0,76.0,71.0,80.0,37.0,74.0,Germany
G. Ochoa,5500000,78,GK,77.0,69.0,75.0,83.0,49.0,79.0,Mexico
Andrés Fernández,6500000,78,GK,80.0,75.0,68.0,79.0,56.0,76.0,Spain
I. Khune,6500000,78,GK,75.0,74.0,90.0,80.0,35.0,76.0,South Africa
S. Mignolet,6500000,78,GK,79.0,72.0,62.0,80.0,51.0,75.0,Belgium
Guilherme,5500000,78,GK,82.0,73.0,72.0,80.0,39.0,78.0,Russia
O. Karnezis,5500000,78,GK,78.0,76.0,72.0,79.0,39.0,77.0,Greece
R. Zieler,7000000,78,GK,76.0,73.0,70.0,81.0,48.0,78.0,Germany
M. Hitz,6500000,78,GK,80.0,77.0,63.0,80.0,44.0,79.0,Switzerland
A. Marchesín,6500000,78,GK,77.0,75.0,74.0,81.0,51.0,79.0,Argentina
R. Olsen,7500000,78,GK,78.0,77.0,76.0,78.0,36.0,78.0,Sweden
G. Arias,6500000,78,GK,79.0,73.0,74.0,81.0,37.0,80.0,Chile
M. Campaña,7000000,78,GK,79.0,75.0,78.0,80.0,45.0,79.0,Uruguay
E. Audero,11500000,77,GK,80.0,73.0,73.0,80.0,52.0,74.0,Italy
P. Bernardoni,9500000,77,GK,78.0,74.0,73.0,84.0,29.0,76.0,France
Cláudio Ramos,8000000,77,GK,81.0,75.0,65.0,79.0,52.0,73.0,Portugal
T. Koubek,8000000,77,GK,78.0,77.0,72.0,78.0,41.0,75.0,Czech Republic
E. Mendy,8000000,77,GK,77.0,73.0,70.0,78.0,34.0,76.0,Senegal
M. Bizot,7500000,77,GK,80.0,74.0,66.0,77.0,46.0,74.0,Netherlands
B. Reynet,7500000,77,GK,76.0,73.0,75.0,80.0,45.0,77.0,France
Sergio Rico,8000000,77,GK,77.0,74.0,77.0,80.0,47.0,74.0,Spain
Renan Ribeiro,7000000,77,GK,81.0,70.0,67.0,80.0,49.0,75.0,Brazil
Y. Bounou,7500000,77,GK,75.0,77.0,75.0,76.0,35.0,75.0,Morocco
A. Paschalakis,7000000,77,GK,81.0,68.0,68.0,81.0,50.0,74.0,Greece
A. Pyatov,2400000,77,GK,75.0,69.0,82.0,78.0,44.0,80.0,Ukraine
Iván Cuéllar,2400000,77,GK,74.0,76.0,78.0,79.0,50.0,73.0,Spain
J. Hart,5500000,77,GK,74.0,75.0,67.0,81.0,58.0,75.0,England
C. Bravo,1500000,77,GK,77.0,76.0,84.0,77.0,56.0,75.0,Chile
R. Gurtner,5500000,77,GK,78.0,75.0,74.0,79.0,45.0,75.0,France
Roberto,4800000,77,GK,80.0,70.0,73.0,82.0,47.0,74.0,Spain
Douglas,1500000,77,GK,78.0,75.0,71.0,77.0,37.0,74.0,Brazil
M. Esser,5500000,77,GK,77.0,74.0,64.0,82.0,41.0,75.0,Germany
C. Vargas,6000000,77,GK,77.0,74.0,69.0,81.0,45.0,76.0,Colombia
M. Sportiello,6500000,77,GK,77.0,75.0,68.0,79.0,43.0,77.0,Italy
A. Lunin,11000000,76,GK,74.0,71.0,76.0,79.0,29.0,77.0,Ukraine
P. Gollini,8500000,76,GK,77.0,72.0,67.0,78.0,47.0,76.0,Italy
Álex Remiro,8500000,76,GK,78.0,72.0,78.0,77.0,43.0,74.0,Spain
Z. Steffen,8500000,76,GK,76.0,72.0,74.0,84.0,53.0,73.0,United States
Rubén Blanco,8000000,76,GK,79.0,75.0,73.0,74.0,53.0,76.0,Spain
A. Gunn,8000000,76,GK,76.0,73.0,70.0,79.0,49.0,74.0,England
T. Didillon,8000000,76,GK,77.0,72.0,68.0,79.0,55.0,75.0,France
Y. Mvogo,7500000,76,GK,80.0,74.0,71.0,79.0,42.0,71.0,Switzerland
Matheus,7000000,76,GK,79.0,73.0,71.0,78.0,46.0,76.0,Brazil
Aitor,7000000,76,GK,76.0,74.0,67.0,79.0,55.0,75.0,Spain
A. Aguerre,7000000,76,GK,77.0,74.0,63.0,79.0,46.0,73.0,Argentina
G. Herrera,7000000,76,GK,75.0,73.0,71.0,77.0,49.0,76.0,Argentina
A. Blake,7000000,76,GK,78.0,71.0,68.0,83.0,46.0,74.0,Jamaica
L. Skorupski,6500000,76,GK,80.0,75.0,54.0,81.0,51.0,75.0,Poland
A. Hansen,6500000,76,GK,78.0,68.0,70.0,80.0,36.0,76.0,Norway
L. Unnerstall,6500000,76,GK,76.0,75.0,72.0,77.0,33.0,74.0,Germany
Jaume,6500000,76,GK,74.0,73.0,75.0,82.0,58.0,72.0,Spain
A. McCarthy,6000000,76,GK,77.0,75.0,64.0,80.0,57.0,75.0,England
L. Chichizola,6000000,76,GK,77.0,77.0,68.0,78.0,52.0,75.0,Argentina
H. Tekin,6000000,76,GK,77.0,72.0,72.0,80.0,38.0,73.0,Turkey
S. Proto,1300000,76,GK,75.0,73.0,73.0,77.0,47.0,78.0,Belgium
Gomes,775000,76,GK,79.0,71.0,58.0,80.0,46.0,75.0,Brazil
S. Kırıntılı,3400000,76,GK,76.0,73.0,68.0,79.0,49.0,76.0,Turkey
S. Bolat,5000000,76,GK,70.0,79.0,77.0,78.0,43.0,75.0,Turkey
J. Orozco,4200000,76,GK,76.0,71.0,82.0,76.0,60.0,77.0,Mexico
Marcelo Grohe,4700000,76,GK,75.0,73.0,67.0,79.0,37.0,77.0,Brazil
K. Vermeer,4200000,76,GK,78.0,68.0,66.0,81.0,57.0,76.0,Netherlands
Fabricio,4900000,76,GK,75.0,77.0,74.0,76.0,56.0,73.0,Spain
Beto,775000,76,GK,79.0,69.0,79.0,75.0,40.0,75.0,Portugal
E. Berisha,5000000,76,GK,76.0,76.0,67.0,78.0,28.0,75.0,Albania
S. Padt,5500000,76,GK,76.0,74.0,68.0,77.0,38.0,75.0,Netherlands
Adrián,4700000,76,GK,79.0,72.0,68.0,80.0,45.0,72.0,Spain
M. Díaz,4200000,76,GK,75.0,73.0,62.0,76.0,39.0,81.0,Argentina
Fred Aníbão,5500000,76,GK,71.0,77.0,76.0,77.0,32.0,72.0,Brazil
Nelsildo Reis,4900000,76,GK,76.0,77.0,77.0,74.0,52.0,76.0,Brazil
D. Boyko,4900000,76,GK,77.0,69.0,68.0,78.0,48.0,74.0,Ukraine
I. Radu,9500000,75,GK,79.0,69.0,72.0,80.0,40.0,74.0,Romania
A. Nübel,8500000,75,GK,75.0,69.0,77.0,81.0,47.0,74.0,Germany
D. Henderson,8500000,75,GK,75.0,71.0,72.0,76.0,49.0,73.0,England
F. Müller,8000000,75,GK,75.0,72.0,71.0,79.0,43.0,73.0,Germany
Tiago Sá,7500000,75,GK,75.0,73.0,71.0,76.0,44.0,73.0,Portugal
E. Martínez,6500000,75,GK,75.0,74.0,76.0,76.0,58.0,73.0,Argentina
S. Johnstone,6500000,75,GK,79.0,74.0,70.0,77.0,41.0,73.0,England
Miguel Silva,6500000,75,GK,77.0,73.0,59.0,76.0,49.0,73.0,Portugal
Gabriel,6500000,75,GK,77.0,73.0,68.0,79.0,36.0,73.0,Brazil
A. Martín Arias,6500000,75,GK,81.0,68.0,76.0,77.0,51.0,73.0,Argentina
A. Gomis,6000000,75,GK,77.0,74.0,70.0,75.0,42.0,75.0,Senegal
P. Gazzaniga,6000000,75,GK,76.0,74.0,84.0,78.0,64.0,75.0,Argentina
Yan Junling,6000000,75,GK,73.0,71.0,70.0,79.0,48.0,75.0,China PR
V. Barkas,6000000,75,GK,71.0,75.0,74.0,75.0,34.0,77.0,Greece
N. Etheridge,5500000,75,GK,77.0,67.0,61.0,77.0,52.0,76.0,Philippines
C. Mathenia,5500000,75,GK,76.0,70.0,64.0,79.0,45.0,74.0,Germany
L. Kalinić,5500000,75,GK,80.0,74.0,43.0,78.0,35.0,75.0,Croatia
J. Lössl,5000000,75,GK,74.0,76.0,67.0,77.0,32.0,74.0,Denmark
M. Günok,5000000,75,GK,73.0,72.0,79.0,75.0,56.0,76.0,Turkey
S. Lung,5000000,75,GK,74.0,71.0,69.0,76.0,36.0,75.0,Romania
A. McGregor,675000,75,GK,74.0,72.0,66.0,79.0,37.0,74.0,Scotland
A. Boruc,675000,75,GK,76.0,75.0,65.0,75.0,38.0,77.0,Poland
J. Hansen,2900000,75,GK,75.0,71.0,75.0,75.0,42.0,74.0,Denmark
W. Caballero,675000,75,GK,74.0,72.0,71.0,74.0,45.0,76.0,Argentina
Rafael,675000,75,GK,76.0,71.0,63.0,76.0,36.0,76.0,Brazil
M. Barovero,1800000,75,GK,74.0,70.0,64.0,78.0,35.0,78.0,Argentina
M. Barbosa,2900000,75,GK,76.0,72.0,76.0,75.0,43.0,74.0,Argentina
R. Özcan,1800000,75,GK,73.0,71.0,71.0,75.0,51.0,76.0,Austria
J. Corona,675000,75,GK,72.0,77.0,68.0,73.0,39.0,78.0,Mexico
Sergio,4000000,75,GK,75.0,65.0,75.0,81.0,43.0,76.0,Spain
Cássio,675000,75,GK,76.0,74.0,68.0,75.0,37.0,73.0,Brazil
D. Randolph,4000000,75,GK,76.0,72.0,67.0,76.0,43.0,73.0,Republic of Ireland
W. Hennessey,4000000,75,GK,75.0,75.0,80.0,71.0,41.0,75.0,Wales
A. Begović,4000000,75,GK,76.0,74.0,72.0,75.0,48.0,74.0,Bosnia Herzegovina
Kiko Casilla,4000000,75,GK,74.0,76.0,72.0,74.0,46.0,73.0,Spain
T. Kraft,4500000,75,GK,79.0,74.0,60.0,83.0,48.0,65.0,Germany
D. Vukovic,2900000,75,GK,74.0,70.0,63.0,77.0,50.0,78.0,Australia
S. Grytebust,4700000,75,GK,75.0,71.0,66.0,79.0,41.0,74.0,Norway
R. Cota,4300000,75,GK,75.0,70.0,67.0,78.0,57.0,79.0,Mexico
V. Babacan,4500000,75,GK,75.0,74.0,68.0,75.0,56.0,77.0,Turkey
C. Álvarez,3600000,75,GK,75.0,73.0,71.0,78.0,48.0,76.0,Argentina
L. Sepe,4900000,75,GK,74.0,76.0,61.0,79.0,47.0,73.0,Italy
R. Gikiewicz,4300000,75,GK,76.0,73.0,75.0,78.0,28.0,74.0,Poland
Y. Lodygin,4700000,75,GK,78.0,72.0,73.0,82.0,44.0,69.0,Russia
Simão Donatinho,1800000,75,GK,76.0,70.0,77.0,75.0,44.0,75.0,Brazil
Kaíquão Castro,1800000,75,GK,77.0,76.0,61.0,73.0,36.0,72.0,Brazil
F. Niță,4300000,75,GK,75.0,73.0,69.0,76.0,28.0,77.0,Romania
P. Dárenas,0,75,GK,77.0,76.0,61.0,73.0,36.0,72.0,Uruguay
A. Rossi,6500000,74,GK,73.0,69.0,68.0,75.0,41.0,77.0,Argentina
J. Bijlow,6500000,74,GK,76.0,70.0,77.0,75.0,43.0,70.0,Netherlands
Bruno Varela,5500000,74,GK,77.0,71.0,63.0,76.0,40.0,74.0,Portugal
T. Kaminski,5000000,74,GK,73.0,74.0,67.0,75.0,46.0,72.0,Belgium
J. Rodríguez,5000000,74,GK,78.0,70.0,66.0,75.0,57.0,74.0,Mexico
B. Hamid,5000000,74,GK,75.0,70.0,70.0,76.0,41.0,73.0,United States
F. Rønnow,5000000,74,GK,74.0,70.0,66.0,77.0,46.0,74.0,Denmark
S. Dioudis,5000000,74,GK,77.0,71.0,67.0,78.0,43.0,73.0,Greece
D. Heuer Fernandes,5000000,74,GK,75.0,72.0,76.0,78.0,43.0,69.0,Portugal
R. Rey,5000000,74,GK,76.0,70.0,69.0,78.0,48.0,75.0,Argentina
C. Stanković,5000000,74,GK,77.0,71.0,64.0,77.0,44.0,72.0,Austria
Charles,5000000,74,GK,75.0,69.0,63.0,78.0,30.0,72.0,Brazil
H. Lindner,0,74,GK,79.0,68.0,64.0,78.0,42.0,69.0,Austria
Cho Hyun Woo,4700000,74,GK,75.0,71.0,59.0,78.0,50.0,74.0,Korea Republic
Oier,4600000,74,GK,74.0,71.0,70.0,73.0,44.0,77.0,Spain
Diego Mariño,4600000,74,GK,74.0,72.0,69.0,77.0,51.0,72.0,Spain
Munir,4400000,74,GK,72.0,74.0,68.0,74.0,45.0,75.0,Morocco
L. Butelle,950000,74,GK,75.0,73.0,65.0,75.0,32.0,74.0,France
Y. Pelé,950000,74,GK,75.0,75.0,67.0,74.0,39.0,73.0,France
D. Benaglio,1500000,74,GK,71.0,79.0,61.0,71.0,39.0,77.0,Switzerland
Dani Giménez,1500000,74,GK,72.0,70.0,69.0,79.0,33.0,71.0,Spain
R. Salin,2500000,74,GK,78.0,64.0,68.0,78.0,31.0,74.0,France
A. Talavera,950000,74,GK,79.0,70.0,70.0,77.0,58.0,70.0,Mexico
D. Padelli,3000000,74,GK,74.0,74.0,63.0,74.0,44.0,76.0,Italy
K. Westwood,2500000,74,GK,75.0,71.0,70.0,77.0,47.0,74.0,Republic of Ireland
M. Andújar,1500000,74,GK,73.0,73.0,62.0,77.0,45.0,75.0,Argentina
T. Sippel,3600000,74,GK,75.0,69.0,79.0,78.0,46.0,70.0,Germany
L. Robles,1500000,74,GK,75.0,71.0,70.0,77.0,41.0,73.0,United States
Yoel,3800000,74,GK,75.0,72.0,74.0,75.0,39.0,71.0,Spain
E. Room,3800000,74,GK,74.0,75.0,68.0,76.0,45.0,71.0,Curacao
M. Silvestri,4100000,74,GK,78.0,68.0,68.0,79.0,60.0,74.0,Italy
Rafael,4000000,74,GK,75.0,73.0,71.0,74.0,54.0,73.0,Brazil
Marafona,3400000,74,GK,76.0,73.0,66.0,74.0,37.0,75.0,Portugal
M. Borjan,0,74,GK,76.0,73.0,72.0,72.0,43.0,74.0,Canada
N. Vikonis,1500000,74,GK,73.0,75.0,69.0,74.0,42.0,72.0,Uruguay
Victorino Magela,3600000,74,GK,71.0,72.0,73.0,76.0,42.0,75.0,Brazil
Adrianiscito,4000000,74,GK,68.0,76.0,74.0,73.0,18.0,77.0,Brazil
J. Santigaro,0,74,GK,71.0,79.0,81.0,69.0,30.0,75.0,Ecuador
W. Faríñez,7500000,73,GK,73.0,70.0,69.0,77.0,52.0,74.0,Venezuela
Unai Simón,5500000,73,GK,72.0,73.0,64.0,72.0,47.0,74.0,Spain
B. Drągowski,5000000,73,GK,71.0,69.0,70.0,76.0,44.0,72.0,Poland
P. Rajkovic,4800000,73,GK,74.0,72.0,71.0,74.0,23.0,72.0,Serbia
E. Unsain,4500000,73,GK,79.0,65.0,77.0,79.0,54.0,66.0,Argentina
G. Larsonneur,4500000,73,GK,74.0,75.0,66.0,76.0,50.0,68.0,France
I. Arboleda,4300000,73,GK,75.0,69.0,66.0,75.0,59.0,71.0,Colombia
D. von Ballmoos,4300000,73,GK,75.0,72.0,70.0,75.0,52.0,70.0,Switzerland
Sivera,4300000,73,GK,73.0,71.0,68.0,74.0,56.0,75.0,Spain
O. Kolář,4300000,73,GK,72.0,70.0,78.0,76.0,52.0,72.0,Czech Republic
J. Omlin,4100000,73,GK,75.0,71.0,69.0,76.0,50.0,70.0,Switzerland
R. Zentner,4100000,73,GK,73.0,71.0,64.0,77.0,65.0,71.0,Germany
B. Kamara,4100000,73,GK,76.0,69.0,65.0,75.0,39.0,71.0,France
U. Çakır,4100000,73,GK,74.0,69.0,70.0,76.0,53.0,72.0,Turkey
M. Pigliacelli,3900000,73,GK,74.0,69.0,85.0,75.0,48.0,68.0,Italy
S. Kapino,3900000,73,GK,74.0,67.0,66.0,79.0,42.0,72.0,Greece
P. Nardi,3900000,73,GK,78.0,67.0,68.0,77.0,48.0,67.0,France
J. Rinne,3900000,73,GK,73.0,68.0,73.0,75.0,47.0,71.0,Sweden
H. Van Crombrugge,3800000,73,GK,78.0,71.0,72.0,73.0,37.0,70.0,Belgium
D. Roef,3800000,73,GK,76.0,71.0,65.0,76.0,50.0,70.0,Belgium
B. Samba,3800000,73,GK,75.0,69.0,69.0,79.0,55.0,68.0,Congo
G. Akkan,3900000,73,GK,71.0,68.0,68.0,82.0,48.0,70.0,Turkey
M. Heča,3600000,73,GK,72.0,72.0,67.0,74.0,44.0,73.0,Czech Republic
Edgar Badía,3500000,73,GK,76.0,68.0,66.0,74.0,33.0,73.0,Spain
R. Strebinger,3600000,73,GK,74.0,64.0,63.0,79.0,38.0,74.0,Austria
A. Brignoli,3500000,73,GK,72.0,72.0,75.0,73.0,32.0,73.0,Italy
Y. Cardinale,3700000,73,GK,74.0,69.0,75.0,77.0,46.0,70.0,France
K. Darlow,3500000,73,GK,75.0,70.0,64.0,76.0,55.0,71.0,England
K. Johnsson,3200000,73,GK,74.0,70.0,73.0,76.0,49.0,74.0,Sweden
Tomeu Nadal,3100000,73,GK,71.0,73.0,68.0,73.0,39.0,71.0,Spain
A. El-Shenawy,0,73,GK,74.0,72.0,71.0,75.0,34.0,75.0,Egypt
D. Ward,3300000,73,GK,74.0,72.0,64.0,74.0,45.0,72.0,Wales
M. Stekelenburg,675000,73,GK,71.0,72.0,76.0,73.0,33.0,73.0,Netherlands
N. Penneteau,400000,73,GK,70.0,76.0,66.0,66.0,27.0,81.0,France
Cifuentes,400000,73,GK,67.0,74.0,65.0,71.0,46.0,82.0,Spain
C. Kameni,1100000,73,GK,75.0,70.0,72.0,75.0,45.0,72.0,Cameroon
A. Walke,675000,73,GK,73.0,71.0,75.0,76.0,35.0,69.0,Germany
F. Marchetti,675000,73,GK,72.0,72.0,65.0,73.0,52.0,73.0,Italy
A. Rebrov,1100000,73,GK,74.0,68.0,65.0,73.0,36.0,78.0,Russia
V. Demarconnay,675000,73,GK,72.0,71.0,75.0,72.0,45.0,75.0,France
J. Leca,2200000,73,GK,72.0,69.0,69.0,75.0,45.0,73.0,France
J. Lewis,2600000,73,GK,76.0,68.0,67.0,75.0,56.0,72.0,England
P. Tschauner,2200000,73,GK,72.0,71.0,66.0,74.0,42.0,71.0,Germany
S. Viera,675000,73,GK,71.0,70.0,72.0,75.0,39.0,73.0,Uruguay
B. Jones,400000,73,GK,71.0,69.0,68.0,71.0,54.0,75.0,Australia
A. Shunin,0,73,GK,72.0,72.0,70.0,75.0,41.0,72.0,Russia
T. Krul,2600000,73,GK,74.0,72.0,68.0,75.0,39.0,68.0,Netherlands
F. Forster,2600000,73,GK,70.0,72.0,60.0,77.0,31.0,74.0,England
E. Alfonso,2600000,73,GK,72.0,72.0,63.0,73.0,50.0,73.0,Italy
L. Burián,1100000,73,GK,71.0,70.0,71.0,74.0,41.0,73.0,Uruguay
Marco Rocha,2400000,73,GK,71.0,69.0,67.0,75.0,62.0,72.0,Portugal
A. Oukidja,2700000,73,GK,74.0,68.0,63.0,77.0,46.0,73.0,Algeria
A. Hruška,2200000,73,GK,71.0,71.0,70.0,72.0,32.0,74.0,Czech Republic
V. Fiorillo,2800000,73,GK,73.0,68.0,64.0,77.0,39.0,71.0,Italy
René,1100000,73,GK,77.0,70.0,66.0,73.0,54.0,71.0,Spain
S. Frei,2200000,73,GK,74.0,68.0,67.0,74.0,44.0,71.0,United States
G. Arlauskis,2600000,73,GK,75.0,68.0,72.0,79.0,34.0,68.0,Lithuania
C. Pantilimon,2400000,73,GK,69.0,72.0,73.0,76.0,45.0,73.0,Romania
F. Bardi,2800000,73,GK,76.0,71.0,62.0,75.0,48.0,69.0,Italy
Juan Carlos,2600000,73,GK,72.0,73.0,75.0,74.0,60.0,72.0,Spain
