short_name,value_eur,overall,player_positions,pace,shooting,passing,dribbling,defending,physic,nationality
S. Umtiti,50000000,86,CB,69.0,63.0,69.0,69.0,86.0,82.0,France
J. Kimmich,48000000,86,RB,72.0,69.0,86.0,84.0,79.0,78.0,Germany
Isco,51000000,86,CAM,71.0,77.0,83.0,91.0,59.0,60.0,Spain
Roberto Firmino,52000000,86,CF,77.0,82.0,80.0,87.0,61.0,78.0,Brazil
I. Rakitić,38000000,86,CM,62.0,81.0,86.0,81.0,74.0,70.0,Croatia
M. Pjanić,42500000,86,CM,68.0,68.0,87.0,85.0,75.0,67.0,Bosnia Herzegovina
A. Di María,39000000,86,RW,84.0,79.0,84.0,87.0,48.0,68.0,Argentina
L. Bonucci,28500000,86,CB,58.0,58.0,69.0,70.0,87.0,79.0,Italy
Coutinho,46500000,86,LW,79.0,80.0,84.0,90.0,52.0,64.0,Brazil
Parejo,41000000,86,CM,41.0,80.0,88.0,79.0,70.0,69.0,Spain
T. Müller,43500000,86,CAM,72.0,83.0,79.0,78.0,55.0,71.0,Germany
C. Immobile,44500000,86,ST,80.0,85.0,63.0,81.0,39.0,76.0,Italy
A. Lacazette,46000000,86,ST,82.0,85.0,75.0,86.0,40.0,74.0,France
M. de Ligt,50000000,85,CB,67.0,58.0,66.0,68.0,83.0,84.0,Netherlands
F. de Jong,52000000,85,CM,79.0,64.0,84.0,87.0,76.0,76.0,Netherlands
R. Varane,45000000,85,CB,83.0,45.0,62.0,63.0,85.0,80.0,France
N. Süle,46500000,85,CB,72.0,42.0,55.0,50.0,86.0,82.0,Germany
S. Milinković-Savić,50500000,85,CM,67.0,79.0,80.0,83.0,77.0,84.0,Serbia
Rodri,47000000,85,CDM,67.0,68.0,77.0,77.0,82.0,80.0,Spain
Saúl,49500000,85,CM,70.0,78.0,79.0,81.0,78.0,78.0,Spain
Fabinho,45000000,85,CDM,68.0,69.0,78.0,77.0,85.0,83.0,Brazil
A. Robertson,43500000,85,LB,85.0,62.0,77.0,79.0,80.0,75.0,Scotland
J. Giménez,45000000,85,CB,69.0,45.0,52.0,54.0,86.0,82.0,Uruguay
C. Lenglet,45000000,85,CB,75.0,45.0,68.0,65.0,86.0,80.0,France
Bruno Fernandes,49000000,85,CAM,77.0,83.0,87.0,85.0,65.0,74.0,Portugal
R. Lukaku,46000000,85,ST,75.0,82.0,73.0,72.0,35.0,84.0,Belgium
K. Manolas,37500000,85,CB,82.0,25.0,42.0,60.0,86.0,81.0,Greece
D. Alaba,38000000,85,LB,83.0,73.0,81.0,80.0,80.0,76.0,Austria
M. Icardi,46000000,85,ST,75.0,84.0,61.0,77.0,36.0,69.0,Argentina
Carvajal,38000000,85,RB,81.0,47.0,78.0,81.0,82.0,80.0,Spain
H. Ziyech,45000000,85,CAM,80.0,75.0,86.0,83.0,50.0,66.0,Morocco
Z. Ibrahimović,14000000,85,ST,56.0,88.0,77.0,77.0,34.0,78.0,Sweden
A. Gómez,34000000,85,CAM,89.0,78.0,81.0,86.0,39.0,55.0,Argentina
G. Higuaín,34500000,85,ST,63.0,85.0,71.0,80.0,31.0,71.0,Argentina
B. Matuidi,25000000,85,CDM,75.0,66.0,76.0,78.0,83.0,81.0,France
G. Bale,37500000,85,RW,91.0,87.0,82.0,82.0,58.0,76.0,Wales
Marcelo,28000000,85,LB,81.0,74.0,83.0,89.0,77.0,79.0,Brazil
A. Witsel,31500000,85,CDM,73.0,74.0,80.0,79.0,83.0,81.0,Belgium
Alex Sandro,33000000,85,LB,83.0,65.0,77.0,80.0,82.0,82.0,Brazil
Iago Aspas,34500000,85,ST,78.0,84.0,77.0,85.0,35.0,64.0,Spain
Koke,40500000,85,RM,68.0,75.0,86.0,82.0,74.0,79.0,Spain
J. Rodríguez,40500000,85,CAM,55.0,86.0,87.0,86.0,50.0,63.0,Colombia
Allan,38000000,85,CM,75.0,71.0,78.0,84.0,85.0,84.0,Brazil
J. Sancho,44500000,84,RM,88.0,72.0,77.0,90.0,36.0,60.0,England
K. Havertz,46000000,84,CAM,84.0,78.0,79.0,84.0,44.0,65.0,Germany
O. Dembélé,42500000,84,RW,93.0,79.0,80.0,87.0,36.0,57.0,France
João Cancelo,36500000,84,RB,90.0,65.0,80.0,84.0,78.0,71.0,Portugal
D. Alli,41500000,84,CAM,72.0,81.0,79.0,82.0,71.0,79.0,England
L. Hernández,37500000,84,CB,81.0,54.0,70.0,71.0,83.0,82.0,France
Arthur,41000000,84,CM,69.0,71.0,81.0,86.0,73.0,70.0,Brazil
M. Depay,40500000,84,CF,87.0,80.0,81.0,84.0,32.0,78.0,Netherlands
L. Goretzka,40000000,84,CM,81.0,77.0,80.0,81.0,75.0,79.0,Germany
J. Brandt,40500000,84,CAM,82.0,78.0,81.0,85.0,40.0,68.0,Germany
K. Coman,40500000,84,LM,92.0,76.0,77.0,87.0,29.0,60.0,France
S. Gnabry,39500000,84,RM,90.0,82.0,75.0,86.0,43.0,69.0,Germany
N. Fekir,39000000,84,CAM,78.0,82.0,81.0,88.0,33.0,77.0,France
Luis Alberto,37500000,84,CAM,71.0,76.0,84.0,85.0,49.0,59.0,Spain
Alex Telles,33000000,84,LB,85.0,72.0,84.0,81.0,80.0,76.0,Brazil
S. de Vrij,31500000,84,CB,66.0,41.0,62.0,68.0,86.0,74.0,Netherlands
Felipe Anderson,36500000,84,LM,89.0,77.0,79.0,89.0,55.0,61.0,Brazil
Pepe,6500000,84,CB,67.0,51.0,57.0,60.0,85.0,85.0,Portugal
João Moutinho,23500000,84,CM,56.0,75.0,85.0,82.0,71.0,67.0,Portugal
M. Hamšík,26500000,84,CM,69.0,77.0,83.0,83.0,72.0,69.0,Slovakia
Sokratis,23000000,84,CB,72.0,51.0,52.0,60.0,84.0,83.0,Greece
Lucas Leiva,20500000,84,CDM,62.0,66.0,76.0,78.0,83.0,73.0,Brazil
M. Özil,29500000,84,CAM,70.0,72.0,86.0,84.0,24.0,56.0,Germany
Javi Martínez,25500000,84,CDM,48.0,55.0,69.0,63.0,86.0,83.0,Spain
E. Džeko,19500000,84,ST,60.0,84.0,71.0,75.0,46.0,73.0,Bosnia Herzegovina
G. Wijnaldum,31000000,84,CM,77.0,73.0,78.0,84.0,76.0,78.0,Netherlands
I. Perišić,29500000,84,LM,84.0,80.0,78.0,82.0,62.0,77.0,Croatia
M. Mandžukić,19500000,84,ST,68.0,80.0,71.0,75.0,65.0,86.0,Croatia
A. Vidal,23500000,84,CM,67.0,79.0,80.0,78.0,85.0,86.0,Chile
J. Boateng,25000000,84,CB,66.0,50.0,72.0,65.0,84.0,82.0,Germany
Azpilicueta,25500000,84,RB,70.0,55.0,77.0,73.0,85.0,76.0,Spain
José Callejón,24000000,84,RM,89.0,78.0,75.0,83.0,47.0,64.0,Spain
I. Gündoğan,31000000,84,CM,66.0,74.0,84.0,84.0,72.0,71.0,Germany
Paulinho,29000000,84,CM,72.0,81.0,77.0,80.0,78.0,85.0,Brazil
K. Walker,25500000,84,RB,91.0,63.0,76.0,77.0,81.0,81.0,England
Canales,31500000,84,CAM,78.0,79.0,83.0,81.0,51.0,66.0,Spain
Douglas Costa,31500000,84,LM,94.0,73.0,79.0,91.0,43.0,61.0,Brazil
Pizzi,30500000,84,RM,77.0,77.0,84.0,81.0,63.0,68.0,Portugal
D. Tadić,29500000,84,CAM,68.0,80.0,84.0,85.0,41.0,71.0,Serbia
J. Iličić,28000000,84,CF,70.0,84.0,84.0,85.0,43.0,67.0,Slovenia
R. Mahrez,31500000,84,RW,84.0,78.0,79.0,89.0,38.0,59.0,Algeria
E. Višća,30500000,84,RM,88.0,79.0,79.0,83.0,47.0,64.0,Bosnia Herzegovina
Felipe,25000000,84,CB,64.0,41.0,57.0,60.0,84.0,87.0,Brazil
Fabián,36000000,83,CM,65.0,78.0,78.0,83.0,74.0,69.0,Spain
A. Romagnoli,32000000,83,CB,63.0,40.0,55.0,66.0,85.0,79.0,Italy
G. Lo Celso,35000000,83,CM,77.0,78.0,82.0,85.0,65.0,72.0,Argentina
T. Alexander-Arnold,32000000,83,RB,80.0,62.0,82.0,78.0,78.0,70.0,England
L. Jović,36500000,83,ST,77.0,82.0,68.0,81.0,29.0,74.0,Serbia
A. Milik,35000000,83,ST,69.0,85.0,64.0,76.0,39.0,74.0,Poland
A. Martial,34500000,83,LW,89.0,81.0,72.0,86.0,41.0,71.0,France
Anderson Talisca,34500000,83,CAM,77.0,82.0,80.0,81.0,57.0,72.0,Brazil
J. Tah,31000000,83,CB,71.0,27.0,59.0,57.0,83.0,81.0,Germany
C. Tolisso,34000000,83,CM,69.0,77.0,79.0,78.0,76.0,79.0,France
Gonçalo Guedes,34500000,83,LM,90.0,79.0,76.0,84.0,36.0,70.0,Portugal
N. Pépé,34500000,83,RM,91.0,81.0,75.0,85.0,33.0,67.0,Ivory Coast
M. Akanji,31000000,83,CB,78.0,45.0,68.0,72.0,83.0,80.0,Switzerland
M. Rashford,35500000,83,ST,92.0,82.0,73.0,84.0,45.0,77.0,England
J. Stones,30000000,83,CB,68.0,36.0,70.0,72.0,84.0,77.0,England
A. Rabiot,33000000,83,CM,73.0,74.0,79.0,80.0,77.0,80.0,France
Grimaldo,29500000,83,LB,85.0,63.0,79.0,84.0,77.0,71.0,Spain
T. Werner,34500000,83,ST,92.0,81.0,67.0,83.0,35.0,69.0,Germany
T. Lemar,34000000,83,LM,83.0,76.0,82.0,85.0,59.0,67.0,France
D. Sánchez,30500000,83,CB,74.0,45.0,57.0,66.0,83.0,81.0,Colombia
Marco Asensio,34000000,83,LW,81.0,80.0,82.0,84.0,43.0,62.0,Spain
L. Digne,28500000,83,LB,78.0,69.0,79.0,79.0,80.0,76.0,France
J. Draxler,32500000,83,CAM,77.0,79.0,81.0,86.0,55.0,63.0,Germany
Y. Carrasco,32500000,83,LM,90.0,80.0,75.0,87.0,39.0,64.0,Belgium
Borja Iglesias,32500000,83,ST,67.0,83.0,63.0,76.0,35.0,82.0,Spain
W. Zaha,32000000,83,CF,91.0,76.0,72.0,88.0,27.0,74.0,Ivory Coast
Paco Alcácer,32000000,83,ST,79.0,84.0,68.0,80.0,36.0,63.0,Spain
Morata,32000000,83,ST,81.0,79.0,71.0,80.0,31.0,72.0,Spain
S. Haller,32000000,83,ST,72.0,81.0,62.0,76.0,51.0,82.0,France
William Carvalho,27500000,83,CDM,42.0,57.0,77.0,74.0,79.0,85.0,Portugal
F. Bernardeschi,31500000,83,RM,81.0,75.0,81.0,87.0,60.0,66.0,Italy
D. Djené,27000000,83,CB,72.0,37.0,61.0,61.0,83.0,79.0,Togo
Oscar,29500000,83,CAM,74.0,76.0,83.0,81.0,55.0,50.0,Brazil
Bartra,25500000,83,CB,73.0,61.0,73.0,72.0,82.0,74.0,Spain
Pablo Sarabia,29500000,83,CAM,75.0,76.0,82.0,84.0,57.0,57.0,Spain
Lucas Moura,31000000,83,CF,92.0,79.0,76.0,87.0,42.0,66.0,Brazil
F. Thauvin,30500000,83,RW,83.0,80.0,81.0,83.0,41.0,69.0,France
Jorginho,29000000,83,CM,55.0,63.0,84.0,81.0,70.0,73.0,Italy
V. Kompany,12000000,83,CB,50.0,53.0,65.0,64.0,84.0,79.0,Belgium
Raúl Albiol,12000000,83,CB,48.0,41.0,61.0,63.0,86.0,72.0,Spain
F. Quagliarella,9500000,83,ST,69.0,89.0,75.0,80.0,30.0,65.0,Italy
Falcao,16500000,83,ST,65.0,82.0,69.0,77.0,43.0,72.0,Colombia
Miranda,9500000,83,CB,64.0,49.0,60.0,68.0,84.0,74.0,Brazil
C. Vela,24500000,83,RW,80.0,82.0,78.0,84.0,31.0,67.0,Mexico
E. Garay,16500000,83,CB,43.0,60.0,67.0,62.0,82.0,81.0,Argentina
R. Nainggolan,22500000,83,CAM,72.0,79.0,78.0,83.0,83.0,82.0,Belgium
E. Banega,19500000,83,CDM,61.0,73.0,84.0,82.0,77.0,70.0,Argentina
Diego Costa,25000000,83,ST,73.0,82.0,64.0,75.0,49.0,85.0,Spain
S. Khedira,19500000,83,CM,51.0,74.0,78.0,77.0,80.0,80.0,Germany
David Luiz,16500000,83,CB,61.0,65.0,74.0,70.0,82.0,77.0,Brazil
M. Kruse,23500000,83,CF,66.0,83.0,83.0,83.0,45.0,70.0,Germany
J. Henderson,22000000,83,CDM,64.0,70.0,83.0,77.0,78.0,80.0,England
G. Sigurðsson,25500000,83,CAM,56.0,81.0,84.0,80.0,57.0,69.0,Iceland
A. Ramsey,25500000,83,CM,68.0,77.0,79.0,80.0,68.0,74.0,Wales
Illarramendi,22000000,83,CDM,54.0,71.0,80.0,79.0,80.0,71.0,Spain
D. Blind,22000000,83,CDM,54.0,65.0,80.0,77.0,82.0,74.0,Netherlands
N. Otamendi,19000000,83,CB,56.0,57.0,63.0,59.0,83.0,78.0,Argentina
J. Cuadrado,22500000,83,RM,91.0,72.0,77.0,88.0,66.0,67.0,Colombia
I. Gueye,22000000,83,CDM,73.0,59.0,70.0,78.0,85.0,78.0,Senegal
K. Kampl,25500000,83,CM,76.0,67.0,80.0,86.0,63.0,62.0,Slovenia
Rodrigo,27000000,83,ST,90.0,80.0,74.0,82.0,44.0,70.0,Spain
C. Aránguiz,24000000,83,CM,63.0,72.0,82.0,81.0,74.0,73.0,Chile
W. Ben Yedder,27000000,83,ST,84.0,82.0,77.0,85.0,39.0,61.0,France
F. Acerbi,19000000,83,CB,56.0,50.0,61.0,63.0,86.0,82.0,Italy
Danilo Pereira,24000000,83,CDM,65.0,63.0,72.0,74.0,82.0,85.0,Portugal
A. Kramarić,27000000,83,ST,73.0,85.0,73.0,85.0,30.0,71.0,Croatia
Louri Beretta,27500000,83,ST,81.0,84.0,62.0,72.0,33.0,75.0,Brazil
Josué Chiamulera,23500000,83,CB,80.0,43.0,56.0,64.0,85.0,77.0,Brazil
Ronaldo Cabrais,27000000,83,RW,87.0,77.0,83.0,84.0,35.0,72.0,Brazil
Oyarzabal,31000000,82,LW,75.0,82.0,79.0,83.0,39.0,61.0,Spain
L. Bailey,30500000,82,LW,91.0,77.0,75.0,84.0,33.0,64.0,Jamaica
Gabriel Jesus,31000000,82,ST,85.0,80.0,72.0,86.0,39.0,71.0,Brazil
M. Kovačić,29000000,82,CM,76.0,68.0,81.0,86.0,67.0,70.0,Croatia
A. Belotti,30000000,82,ST,77.0,81.0,57.0,77.0,41.0,82.0,Italy
N. Keïta,29000000,82,CM,71.0,73.0,76.0,88.0,65.0,66.0,Guinea
L. Torreira,27000000,82,CDM,75.0,67.0,77.0,80.0,81.0,75.0,Uruguay
Rúben Neves,29000000,82,CM,62.0,74.0,83.0,76.0,70.0,73.0,Portugal
P. Kimpembe,26500000,82,CB,75.0,39.0,67.0,67.0,81.0,83.0,France
S. Bergwijn,30000000,82,RW,89.0,75.0,76.0,85.0,40.0,73.0,Netherlands
Nélson Semedo,26000000,82,RB,92.0,57.0,69.0,81.0,77.0,75.0,Portugal
D. Rugani,26000000,82,CB,64.0,39.0,55.0,64.0,85.0,74.0,Italy
A. Correa,29000000,82,RM,83.0,80.0,75.0,86.0,54.0,65.0,Argentina
Iñaki Williams,29000000,82,ST,94.0,80.0,72.0,80.0,41.0,82.0,Spain
H. Lozano,29000000,82,RW,93.0,76.0,73.0,83.0,41.0,66.0,Mexico
Gelson Martins,29000000,82,RM,95.0,71.0,74.0,86.0,47.0,61.0,Portugal
T. Partey,27000000,82,CM,73.0,72.0,77.0,77.0,79.0,84.0,Ghana
K. Demirbay,27500000,82,CM,67.0,74.0,82.0,84.0,64.0,70.0,Germany
J. Matip,23000000,82,CB,61.0,46.0,68.0,67.0,83.0,76.0,Cameroon
Suso,27000000,82,RW,78.0,76.0,83.0,87.0,33.0,53.0,Spain
S. Savić,22500000,82,CB,55.0,35.0,54.0,56.0,84.0,72.0,Montenegro
A. Rüdiger,24000000,82,CB,72.0,43.0,67.0,63.0,82.0,78.0,Germany
Ricardo Pereira,23500000,82,RB,86.0,64.0,77.0,81.0,79.0,73.0,Portugal
N. Tagliafico,23500000,82,LB,81.0,57.0,72.0,76.0,80.0,81.0,Argentina
Muniain,26000000,82,CAM,80.0,72.0,77.0,87.0,51.0,58.0,Spain
M. Götze,26000000,82,CF,71.0,78.0,85.0,86.0,56.0,70.0,Germany
T. Delaney,23000000,82,CDM,77.0,73.0,74.0,75.0,83.0,82.0,Denmark
Willian José,26000000,82,ST,69.0,82.0,68.0,75.0,40.0,81.0,Brazil
Sergi Roberto,22000000,82,RB,78.0,63.0,81.0,78.0,77.0,73.0,Spain
N. Schulz,22500000,82,LWB,90.0,52.0,76.0,80.0,74.0,76.0,Germany
K. Volland,26500000,82,ST,76.0,84.0,79.0,79.0,41.0,83.0,Germany
Nacho Fernández,21000000,82,CB,74.0,37.0,66.0,64.0,81.0,79.0,Spain
Gabriel Paulista,21500000,82,CB,71.0,49.0,69.0,65.0,83.0,81.0,Brazil
J. Roussillon,22500000,82,LB,89.0,65.0,76.0,80.0,78.0,78.0,France
H. Maguire,23000000,82,CB,50.0,53.0,64.0,69.0,81.0,84.0,England
T. Hazard,26000000,82,RM,82.0,77.0,80.0,86.0,47.0,64.0,Belgium
E. Forsberg,25500000,82,CAM,70.0,71.0,81.0,83.0,33.0,62.0,Sweden
F. Kostić,26000000,82,LM,87.0,76.0,77.0,81.0,67.0,78.0,Serbia
M. Politano,26500000,82,RM,84.0,77.0,78.0,84.0,42.0,57.0,Italy
Rafa,26000000,82,LM,93.0,71.0,74.0,86.0,50.0,52.0,Portugal
D. De Rossi,7000000,82,CDM,59.0,64.0,73.0,69.0,85.0,77.0,Italy
Aduriz,8000000,82,ST,61.0,82.0,64.0,75.0,49.0,74.0,Spain
Jesús Navas,13500000,82,RM,87.0,69.0,77.0,83.0,69.0,53.0,Spain
Santi Cazorla,11000000,82,CM,56.0,73.0,85.0,83.0,65.0,58.0,Spain
H. Herrera,21500000,82,CM,72.0,75.0,75.0,76.0,78.0,81.0,Mexico
L. Biglia,11000000,82,CDM,55.0,63.0,81.0,81.0,77.0,68.0,Argentina
Juan Mata,19500000,82,CAM,62.0,74.0,83.0,83.0,36.0,47.0,Spain
O. Giroud,17500000,82,ST,46.0,81.0,71.0,72.0,42.0,79.0,France
S. Kjær,18000000,82,CB,65.0,55.0,63.0,55.0,81.0,78.0,Denmark
Willian,21000000,82,RW,85.0,78.0,80.0,85.0,49.0,60.0,Brazil
V. Ćorluka,10500000,82,CB,58.0,49.0,65.0,67.0,81.0,82.0,Croatia
M. Arnautović,21500000,82,ST,80.0,79.0,77.0,82.0,47.0,82.0,Austria
A. Sánchez,21000000,82,LW,81.0,78.0,77.0,85.0,44.0,73.0,Chile
Giuliano,21500000,82,CAM,81.0,77.0,79.0,83.0,46.0,75.0,Brazil
A. Kolarov,10000000,82,LB,69.0,74.0,81.0,76.0,82.0,79.0,Serbia
M. Balotelli,23000000,82,ST,76.0,82.0,73.0,79.0,24.0,76.0,Italy
Marlos,19500000,82,RM,83.0,78.0,79.0,86.0,46.0,73.0,Ukraine
Taison,19500000,82,CAM,92.0,79.0,75.0,86.0,47.0,69.0,Brazil
B. Dost,21500000,82,ST,50.0,82.0,57.0,66.0,45.0,80.0,Netherlands
G. Bonaventura,21500000,82,CM,73.0,77.0,82.0,82.0,72.0,69.0,Italy
Pedro,19500000,82,RW,75.0,77.0,77.0,84.0,43.0,56.0,Spain
L. de Jong,23000000,82,ST,56.0,79.0,71.0,69.0,51.0,78.0,Netherlands
S. El Shaarawy,24000000,82,LW,87.0,78.0,71.0,84.0,42.0,60.0,Italy
Ander Herrera,21500000,82,CM,70.0,72.0,78.0,80.0,82.0,77.0,Spain
X. Shaqiri,23000000,82,RW,80.0,77.0,81.0,85.0,46.0,69.0,Switzerland
Mário Fernandes,19000000,82,RWB,82.0,60.0,74.0,79.0,81.0,79.0,Russia
S. Coates,19500000,82,CB,54.0,43.0,55.0,59.0,83.0,85.0,Uruguay
C. Bakambu,23000000,82,ST,90.0,81.0,72.0,80.0,35.0,76.0,DR Congo
T. Meunier,20000000,82,RB,79.0,75.0,77.0,75.0,78.0,84.0,Belgium
K. Bellarabi,21500000,82,RW,92.0,76.0,74.0,85.0,34.0,71.0,Germany
J. Lingard,24000000,82,CAM,80.0,78.0,76.0,83.0,58.0,72.0,England
Q. Promes,23000000,82,LW,91.0,79.0,79.0,83.0,40.0,67.0,Netherlands
J. Vardy,17500000,82,ST,88.0,81.0,65.0,74.0,55.0,75.0,England
D. Zapata,23000000,82,ST,71.0,81.0,56.0,76.0,37.0,83.0,Colombia
Morales,20000000,82,ST,89.0,81.0,76.0,85.0,58.0,69.0,Spain
Juiano Mestres,6500000,82,CB,71.0,61.0,57.0,62.0,82.0,80.0,Brazil
Rosberto Dourado,17000000,82,CDM,81.0,57.0,74.0,77.0,82.0,74.0,Brazil
E. Schetino,0,82,CB,80.0,43.0,56.0,65.0,83.0,76.0,Uruguay
J. Sildero,0,82,CAM,81.0,77.0,81.0,82.0,40.0,71.0,Uruguay
L. Martínez,27000000,81,ST,81.0,77.0,68.0,82.0,40.0,83.0,Argentina
H. Aouar,26000000,81,CM,79.0,71.0,79.0,83.0,66.0,67.0,France
T. Ndombele,26000000,81,CM,80.0,65.0,78.0,87.0,70.0,78.0,France
Éder Militão,23000000,81,CB,79.0,50.0,66.0,71.0,81.0,81.0,Brazil
D. van de Beek,24500000,81,CAM,71.0,78.0,77.0,79.0,71.0,79.0,Netherlands
V. Lindelöf,22000000,81,CB,74.0,50.0,72.0,72.0,82.0,78.0,Sweden
Dani Ceballos,24000000,81,CM,69.0,67.0,79.0,84.0,68.0,68.0,Spain
Pablo Fornals,24500000,81,CAM,67.0,76.0,79.0,80.0,71.0,68.0,Spain
E. Can,23000000,81,CM,70.0,68.0,77.0,79.0,81.0,84.0,Germany
Gayà,21000000,81,LB,85.0,61.0,77.0,80.0,75.0,69.0,Spain
David Neres,24000000,81,LW,87.0,73.0,73.0,87.0,36.0,65.0,Brazil
P. Zieliński,22500000,81,CM,81.0,72.0,81.0,84.0,70.0,61.0,Poland
G. Xhaka,21500000,81,CM,51.0,67.0,81.0,71.0,69.0,78.0,Switzerland
Rafinha,22000000,81,CAM,67.0,76.0,79.0,84.0,68.0,60.0,Brazil
G. Kondogbia,21500000,81,CM,69.0,73.0,76.0,79.0,78.0,88.0,Central African Rep.
M. Sabitzer,22500000,81,CAM,74.0,80.0,76.0,80.0,57.0,77.0,Austria
L. Shaw,20000000,81,LB,82.0,54.0,75.0,80.0,80.0,78.0,England
J. Martínez,22500000,81,ST,89.0,79.0,61.0,79.0,25.0,73.0,Venezuela
A. Doucouré,20000000,81,CDM,69.0,74.0,73.0,77.0,79.0,82.0,France
W. Ndidi,20500000,81,CDM,71.0,62.0,67.0,74.0,83.0,82.0,Nigeria
W. Orban,19000000,81,CB,52.0,37.0,52.0,56.0,82.0,80.0,Hungary
A. Plea,22000000,81,ST,76.0,81.0,76.0,78.0,39.0,74.0,France
Y. Poulsen,22000000,81,ST,83.0,74.0,67.0,75.0,56.0,82.0,Denmark
R. Fraser,21500000,81,LM,90.0,73.0,78.0,83.0,46.0,61.0,Scotland
M. Ginter,19500000,81,CB,62.0,58.0,69.0,65.0,82.0,77.0,Germany
R. Guerreiro,21500000,81,LM,73.0,75.0,82.0,85.0,66.0,57.0,Portugal
